"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"1985","FIL30_373","FIL30_373_M2","FIL30.373.M2","FIL30_373|FIL30_373_M2|FIL30.373.M2",118,40,78,100,NA,100,70,70,NA,FALSE,FALSE,77,77,NA,1,TRUE,NA,FALSE,"FIL30_373_M2",47.9449156838136,"Cross"
"105","FIL30_375","FIL30_375_M2","FIL30.375.M2","FIL30_375|FIL30_375_M2|FIL30.375.M2",130,35,95,110,40,70,87,51,36,FALSE,FALSE,87,50,37,0.574712643678161,FALSE,"FIL30_375",TRUE,"FIL30_375_M2",52.1841248687061,"Self"
"686","FIL30_376","FIL30_376_M2","FIL30.376.M2","FIL30_376|FIL30_376_M2|FIL30.376.M2",60,19,41,50,20,30,41,24,17,FALSE,FALSE,35,17,18,0.485714285714286,FALSE,"FIL30_376",TRUE,"FIL30_376_M2",60.2486726951287,"Self"
"627","FIL30_377","FIL30_377_M2","FIL30.377.M2","FIL30_377|FIL30_377_M2|FIL30.377.M2",104,31,73,89,26,63,76,53,23,FALSE,FALSE,63,37,26,0.587301587301587,FALSE,"FIL30_377",TRUE,"FIL30_377_M2",54.3888921309792,"Self"
"1239","FIL30_378","FIL30_378_M2","FIL30.378.M2","FIL30_378|FIL30_378_M2|FIL30.378.M2",110,30,80,95,34,61,78,50,28,FALSE,FALSE,73,42,31,0.575342465753425,FALSE,"FIL30_378",TRUE,"FIL30_378_M2",57.835909524213,"Self"
"3315","FIL30_379","FIL30_379_M2","FIL30.379.M2","FIL30_379|FIL30_379_M2|FIL30.379.M2",107,23,84,99,21,78,92,73,19,FALSE,FALSE,82,62,20,0.75609756097561,FALSE,"FIL30_379",TRUE,"FIL30_379_M2",73.2631332481873,"Self"
"1682","FIL30_38","FIL30_38_M2","FIL30_38_M2-2","FIL30_38|FIL30_38_M2|FIL30_38_M2-2",99,22,77,87,NA,87,73,73,NA,FALSE,FALSE,68,68,NA,1,TRUE,NA,FALSE,"FIL30_38_M2_2",54.3478690435478,"Cross"
"481","FIL30_380","FIL30_380_M2","FIL30.380.M2","FIL30_380|FIL30_380_M2|FIL30.380.M2",103,23,80,95,26,69,83,59,24,FALSE,FALSE,76,51,25,0.671052631578947,FALSE,"FIL30_380",TRUE,"FIL30_380_M2",49.3417164185763,"Self"
"1376","FIL30_381","FIL30_381_M2","FIL30.381.M2","FIL30_381|FIL30_381_M2|FIL30.381.M2",74,16,58,67,19,48,57,41,16,FALSE,FALSE,57,39,18,0.684210526315789,FALSE,"FIL30_381",TRUE,"FIL30_381_M2",61.89325867857,"Self"
"1154","FIL30_382","FIL30_382_M2","FIL30.382.M2","FIL30_382|FIL30_382_M2|FIL30.382.M2",104,23,81,93,42,51,74,38,36,FALSE,FALSE,75,39,36,0.52,FALSE,"FIL30_382",TRUE,"FIL30_382_M2",49.5477891199921,"Self"
